item_code,item_name,description,brand,item_group,stock_uom,uom_conversions,barcode,manufacturer_part_no,disabled,available_qty,list_price
ACM-SAFE0135,Remax Safety Helmet Red Ratchet,"Safety Helmet Red, grade: Ratchet. Brand Remax. Sold per Nos.",Remax,All Items > Hardware > Safety Helmet,Nos,"[{""uom"":""Nos"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":24.0}]",,REM929378,0,900,250.4
ACM-HEXB0972,Remax Hex Bolt M10x50 Stainless 304,"Hex Bolt M10x50, finish: Stainless 304. Brand Remax. Sold per Pcs.",Remax,All Items > Hardware > Hex Bolt,Pcs,"[{""uom"":""Pcs"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":100.0}]",915515975338,REM459439,0,900,101.87
ACM-HOSE0191-OLD,Stallion Hose Clip 25-38mm SS304,"Hose Clip 25-38mm, material: SS304. Brand Stallion. Sold per Pcs. (superseded)",Stallion,All Items > Hardware > Hose Clip,Pcs,"[{""uom"":""Pcs"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":12.0}]",940262960432,,1,0,164.2
ACM-WALL0580,Tolsen Wall Plug 6mm Blue,"Wall Plug 6mm, colour: Blue. Brand Tolsen. Sold per Packet.",Tolsen,All Items > Hardware > Wall Plug,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":24.0}]",925465601048,TOL679087,0,900,338.75
ACM-HEXB0365,Stallion Hex Bolt M10x50 Stainless 304,"Hex Bolt M10x50, finish: Stainless 304. Brand Stallion. Sold per Pcs.",Stallion,All Items > Hardware > Hex Bolt,Pcs,"[{""uom"":""Pcs"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":24.0}]",,,0,40,118.72
ACM-PVCP0297,Remax PVC Pipe 20mm Class D,"PVC Pipe 20mm, grade: Class D. Brand Remax. Sold per Length.",Remax,All Items > Hardware > PVC Pipe,Length,"[{""uom"":""Length"",""conversion_factor"":1.0}]",918726908845,REM750476,0,3,277.97
ACM-NITR0589,Tolsen Nitrile Glove XL Black,"Nitrile Glove XL, colour: Black. Brand Tolsen. Sold per Box.",Tolsen,All Items > Hardware > Nitrile Glove,Box,"[{""uom"":""Box"",""conversion_factor"":1.0}]",960342624096,,0,900,57.56
ACM-PVCP1055,Vermont PVC Pipe 50mm Class D,"PVC Pipe 50mm, grade: Class D. Brand Vermont. Sold per Length.",Vermont,All Items > Hardware > PVC Pipe,Length,"[{""uom"":""Length"",""conversion_factor"":1.0}]",920260342855,,0,3,319.11
ACM-HEXB0077,Remax Hex Bolt M10x50 Zinc Plated,"Hex Bolt M10x50, finish: Zinc Plated. Brand Remax. Sold per Pcs.",Remax,All Items > Hardware > Hex Bolt,Pcs,"[{""uom"":""Pcs"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":10.0}]",,REM882791,0,150,251.84
ACM-HEXB0176,Tolsen Hex Bolt M12x60 Stainless 316,"Hex Bolt M12x60, finish: Stainless 316. Brand Tolsen. Sold per Pcs.",Tolsen,All Items > Hardware > Hex Bolt,Pcs,"[{""uom"":""Pcs"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":24.0}]",934301243101,,0,150,447.63
ACM-HEXB0965,Bosco Hex Bolt M8x50 HDG,"Hex Bolt M8x50, finish: HDG. Brand Bosco. Sold per Pcs.",Bosco,All Items > Hardware > Hex Bolt,Pcs,"[{""uom"":""Pcs"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":100.0}]",,,0,900,288.55
ACM-ANGL0454,"Tolsen Angle Grinder Disc 5"" Grinding","Angle Grinder Disc 5"", grade: Grinding. Brand Tolsen. Sold per Packet.",Tolsen,All Items > Hardware > Angle Grinder Disc,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":24.0}]",932604880019,,0,900,459.16
ACM-NITR0092,Hitex Nitrile Glove XL Black,"Nitrile Glove XL, colour: Black. Brand Hitex. Sold per Box.",Hitex,All Items > Hardware > Nitrile Glove,Box,"[{""uom"":""Box"",""conversion_factor"":1.0}]",,,0,3,423.42
ACM-GIWI0644,Hitex GI Wire #18 Soft,"GI Wire #18, grade: Soft. Brand Hitex. Sold per Kg.",Hitex,All Items > Hardware > GI Wire,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",988235363069,,0,3,157.22
ACM-NITR0344,Stallion Nitrile Glove S Blue,"Nitrile Glove S, colour: Blue. Brand Stallion. Sold per Box.",Stallion,All Items > Hardware > Nitrile Glove,Box,"[{""uom"":""Box"",""conversion_factor"":1.0}]",995768056874,,0,12,89.33
ACM-GIWI0419,Kanto GI Wire #20 Hard Drawn,"GI Wire #20, grade: Hard Drawn. Brand Kanto. Sold per Kg.",Kanto,All Items > Hardware > GI Wire,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",,KAN389741,0,900,107.26
ACM-NITR0935,Vermont Nitrile Glove M Blue,"Nitrile Glove M, colour: Blue. Brand Vermont. Sold per Box.",Vermont,All Items > Hardware > Nitrile Glove,Box,"[{""uom"":""Box"",""conversion_factor"":1.0}]",,,0,0,155.37
ACM-ANGL0085,"Tolsen Angle Grinder Disc 7"" Grinding","Angle Grinder Disc 7"", grade: Grinding. Brand Tolsen. Sold per Packet.",Tolsen,All Items > Hardware > Angle Grinder Disc,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":24.0}]",995687814211,,0,150,145.09
ACM-PVCP0643B,Stallion PVC Pipe 25mm Class E (Bulk),"PVC Pipe 25mm, grade: Class E. Brand Stallion. Sold per Length.",Stallion,All Items > Hardware > PVC Pipe,Length,"[{""uom"":""Length"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":144.0}]",901474316933,STA848947,0,0,394.28
ACM-CABL0248,Stallion Cable Tie 370mm White,"Cable Tie 370mm, colour: White. Brand Stallion. Sold per Packet.",Stallion,All Items > Hardware > Cable Tie,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":6.0}]",,STA712207,0,0,356.21
ACM-CABL0775,Stallion Cable Tie 100mm White,"Cable Tie 100mm, colour: White. Brand Stallion. Sold per Packet.",Stallion,All Items > Hardware > Cable Tie,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":50.0}]",936140043156,,0,12,310.3
ACM-HEXB0608,Bosco Hex Bolt M8x75 Stainless 304,"Hex Bolt M8x75, finish: Stainless 304. Brand Bosco. Sold per Pcs.",Bosco,All Items > Hardware > Hex Bolt,Pcs,"[{""uom"":""Pcs"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":50.0}]",,,0,150,369.25
ACM-CABL0555,Kanto Cable Tie 100mm Natural,"Cable Tie 100mm, colour: Natural. Brand Kanto. Sold per Packet.",Kanto,All Items > Hardware > Cable Tie,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":12.0}]",918039570178,KAN512187,0,0,243.57
ACM-SELF0081,"Tolsen Self Drilling Screw #8 x 1"" Stainless 410","Self Drilling Screw #8 x 1"", finish: Stainless 410. Brand Tolsen. Sold per Packet.",Tolsen,All Items > Hardware > Self Drilling Screw,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":50.0}]",,,0,0,153.89
ACM-GIWI0948,Stallion GI Wire #20 Soft,"GI Wire #20, grade: Soft. Brand Stallion. Sold per Kg.",Stallion,All Items > Hardware > GI Wire,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",,STA760091,0,40,220.32
ACM-HOSE0637,Tolsen Hose Clip 25-38mm Zinc,"Hose Clip 25-38mm, material: Zinc. Brand Tolsen. Sold per Pcs.",Tolsen,All Items > Hardware > Hose Clip,Pcs,"[{""uom"":""Pcs"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":50.0}]",905233071259,TOL673877,0,900,42.73
ACM-HEXB0943-OLD,Remax Hex Bolt M12x60 Stainless 316,"Hex Bolt M12x60, finish: Stainless 316. Brand Remax. Sold per Pcs. (superseded)",Remax,All Items > Hardware > Hex Bolt,Pcs,"[{""uom"":""Pcs"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":6.0}]",,REM082133,1,0,213.1
ACM-WALL0257,Kanto Wall Plug 10mm Blue,"Wall Plug 10mm, colour: Blue. Brand Kanto. Sold per Packet.",Kanto,All Items > Hardware > Wall Plug,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":12.0}]",988034306237,KAN592953,0,900,188.23
ACM-HEXB1010,Tolsen Hex Bolt M6x30 Stainless 304,"Hex Bolt M6x30, finish: Stainless 304. Brand Tolsen. Sold per Pcs.",Tolsen,All Items > Hardware > Hex Bolt,Pcs,"[{""uom"":""Pcs"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":24.0}]",,TOL458591,0,3,336.75
ACM-BALL0667,"Stallion Ball Valve 1-1/4"" PVC","Ball Valve 1-1/4"", material: PVC. Brand Stallion. Sold per Nos.",Stallion,All Items > Hardware > Ball Valve,Nos,"[{""uom"":""Nos"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":24.0}]",915383341705,,0,0,139.63
ACM-HEXB0606,Stallion Hex Bolt M6x50 Zinc Plated,"Hex Bolt M6x50, finish: Zinc Plated. Brand Stallion. Sold per Pcs.",Stallion,All Items > Hardware > Hex Bolt,Pcs,"[{""uom"":""Pcs"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":10.0}]",916183717590,,0,12,377.97
ACM-CABL0786B,Bosco Cable Tie 200mm White (Bulk),"Cable Tie 200mm, colour: White. Brand Bosco. Sold per Packet.",Bosco,All Items > Hardware > Cable Tie,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":144.0}]",,BOS392642,0,150,129.52
ACM-SELF0590,"Tolsen Self Drilling Screw #10 x 1"" Stainless 410","Self Drilling Screw #10 x 1"", finish: Stainless 410. Brand Tolsen. Sold per Packet.",Tolsen,All Items > Hardware > Self Drilling Screw,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":10.0}]",937358478302,TOL399857,0,3,39.89
ACM-HOSE0969,Vermont Hose Clip 25-38mm Zinc,"Hose Clip 25-38mm, material: Zinc. Brand Vermont. Sold per Pcs.",Vermont,All Items > Hardware > Hose Clip,Pcs,"[{""uom"":""Pcs"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":50.0}]",927765399445,,0,900,307.06
ACM-CABL0706,Vermont Cable Tie 450mm White,"Cable Tie 450mm, colour: White. Brand Vermont. Sold per Packet.",Vermont,All Items > Hardware > Cable Tie,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":100.0}]",,VER170001,0,0,275.08
ACM-NITR0574,Tolsen Nitrile Glove M Blue,"Nitrile Glove M, colour: Blue. Brand Tolsen. Sold per Box.",Tolsen,All Items > Hardware > Nitrile Glove,Box,"[{""uom"":""Box"",""conversion_factor"":1.0}]",929890864095,,0,40,411.72
ACM-BALL0695,"Kanto Ball Valve 2"" SS304","Ball Valve 2"", material: SS304. Brand Kanto. Sold per Nos.",Kanto,All Items > Hardware > Ball Valve,Nos,"[{""uom"":""Nos"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":10.0}]",931703726745,,0,40,448.52
ACM-HEXB0826,Kanto Hex Bolt M8x30 HDG,"Hex Bolt M8x30, finish: HDG. Brand Kanto. Sold per Pcs.",Kanto,All Items > Hardware > Hex Bolt,Pcs,"[{""uom"":""Pcs"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":50.0}]",963623166045,,0,150,14.1
ACM-GIWI0446,Vermont GI Wire #16 Hard Drawn,"GI Wire #16, grade: Hard Drawn. Brand Vermont. Sold per Kg.",Vermont,All Items > Hardware > GI Wire,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",980925450170,VER762186,0,150,385.35
ACM-CABL0921,Hitex Cable Tie 300mm Black,"Cable Tie 300mm, colour: Black. Brand Hitex. Sold per Packet.",Hitex,All Items > Hardware > Cable Tie,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":24.0}]",934017064384,,0,150,454.13
ACM-SELF0276,"Tolsen Self Drilling Screw #10 x 1-1/2"" Zinc Plated","Self Drilling Screw #10 x 1-1/2"", finish: Zinc Plated. Brand Tolsen. Sold per Packet.",Tolsen,All Items > Hardware > Self Drilling Screw,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":100.0}]",929315484542,,0,0,67.94
ACM-PVCP0159,Hitex PVC Pipe 32mm Class D,"PVC Pipe 32mm, grade: Class D. Brand Hitex. Sold per Length.",Hitex,All Items > Hardware > PVC Pipe,Length,"[{""uom"":""Length"",""conversion_factor"":1.0}]",,,0,12,437.62
ACM-WALL0532,Hitex Wall Plug 12mm Blue,"Wall Plug 12mm, colour: Blue. Brand Hitex. Sold per Packet.",Hitex,All Items > Hardware > Wall Plug,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":12.0}]",,,0,40,243.77
ACM-SELF0069,"Vermont Self Drilling Screw #10 x 1"" Stainless 410","Self Drilling Screw #10 x 1"", finish: Stainless 410. Brand Vermont. Sold per Packet.",Vermont,All Items > Hardware > Self Drilling Screw,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":50.0}]",919111702229,,0,3,149.14
ACM-HEXB0008,Vermont Hex Bolt M6x30 Stainless 304,"Hex Bolt M6x30, finish: Stainless 304. Brand Vermont. Sold per Pcs.",Vermont,All Items > Hardware > Hex Bolt,Pcs,"[{""uom"":""Pcs"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":24.0}]",977361941980,,0,900,398.01
ACM-PVCP0928,Hitex PVC Pipe 25mm Class D,"PVC Pipe 25mm, grade: Class D. Brand Hitex. Sold per Length.",Hitex,All Items > Hardware > PVC Pipe,Length,"[{""uom"":""Length"",""conversion_factor"":1.0}]",949357295045,,0,900,152.96
ACM-WALL0030,Kanto Wall Plug 8mm Red,"Wall Plug 8mm, colour: Red. Brand Kanto. Sold per Packet.",Kanto,All Items > Hardware > Wall Plug,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":24.0}]",966299851067,KAN491245,0,12,423.06
ACM-GIWI0968,Kanto GI Wire #14 Hard Drawn,"GI Wire #14, grade: Hard Drawn. Brand Kanto. Sold per Kg.",Kanto,All Items > Hardware > GI Wire,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",998197075719,,0,12,299.57
ACM-PVCP0996,Kanto PVC Pipe 50mm Class C,"PVC Pipe 50mm, grade: Class C. Brand Kanto. Sold per Length.",Kanto,All Items > Hardware > PVC Pipe,Length,"[{""uom"":""Length"",""conversion_factor"":1.0}]",,,0,0,357.12
ACM-HOSE0424,Hitex Hose Clip 13-19mm SS304,"Hose Clip 13-19mm, material: SS304. Brand Hitex. Sold per Pcs.",Hitex,All Items > Hardware > Hose Clip,Pcs,"[{""uom"":""Pcs"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":6.0}]",970557339869,,0,900,340.18
ACM-GIWI0889,Bosco GI Wire #14 Hard Drawn,"GI Wire #14, grade: Hard Drawn. Brand Bosco. Sold per Kg.",Bosco,All Items > Hardware > GI Wire,Kg,"[{""uom"":""Kg"",""conversion_factor"":1.0}]",977105591199,,0,150,110.33
ACM-MASK0269,Vermont Masking Tape 48mm High Temp,"Masking Tape 48mm, grade: High Temp. Brand Vermont. Sold per Roll.",Vermont,All Items > Hardware > Masking Tape,Roll,"[{""uom"":""Roll"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":100.0}]",,,0,900,94.73
ACM-CABL0015,Hitex Cable Tie 150mm Black,"Cable Tie 150mm, colour: Black. Brand Hitex. Sold per Packet.",Hitex,All Items > Hardware > Cable Tie,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":100.0}]",931365071065,HIT602309,0,900,274.0
ACM-MISC001,DELIVERY FEE,,,All Items > Hardware > Misc,Nos,"[{""uom"": ""Nos"", ""conversion_factor"": 1.0}]",,,0,0,0.0
ACM-ANGL0067,"Tolsen Angle Grinder Disc 7"" Cutting","Angle Grinder Disc 7"", grade: Cutting. Brand Tolsen. Sold per Packet.",Tolsen,All Items > Hardware > Angle Grinder Disc,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":24.0}]",909961219370,,0,12,346.02
ACM-PVCP1037,Kanto PVC Pipe 25mm Class C,"PVC Pipe 25mm, grade: Class C. Brand Kanto. Sold per Length.",Kanto,All Items > Hardware > PVC Pipe,Length,"[{""uom"":""Length"",""conversion_factor"":1.0}]",987182657561,KAN179157,0,150,156.72
ACM-ANGL0477,"Kanto Angle Grinder Disc 4.5"" Grinding","Angle Grinder Disc 4.5"", grade: Grinding. Brand Kanto. Sold per Packet.",Kanto,All Items > Hardware > Angle Grinder Disc,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":6.0}]",,KAN885044,0,900,411.26
ACM-PVCP0941,Hitex PVC Pipe 15mm Class E,"PVC Pipe 15mm, grade: Class E. Brand Hitex. Sold per Length.",Hitex,All Items > Hardware > PVC Pipe,Length,"[{""uom"":""Length"",""conversion_factor"":1.0}]",937907124381,,0,3,251.35
ACM-SELF0129,"Tolsen Self Drilling Screw #8 x 3/4"" Stainless 410","Self Drilling Screw #8 x 3/4"", finish: Stainless 410. Brand Tolsen. Sold per Packet.",Tolsen,All Items > Hardware > Self Drilling Screw,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":10.0}]",,TOL943134,0,0,221.74
ACM-WALL0592,Remax Wall Plug 8mm Blue,"Wall Plug 8mm, colour: Blue. Brand Remax. Sold per Packet.",Remax,All Items > Hardware > Wall Plug,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":24.0}]",972172564895,,0,150,317.97
ACM-BALL0510,"Remax Ball Valve 1-1/4"" Brass","Ball Valve 1-1/4"", material: Brass. Brand Remax. Sold per Nos.",Remax,All Items > Hardware > Ball Valve,Nos,"[{""uom"":""Nos"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":12.0}]",964742539277,,0,3,404.07
ACM-HEXB0345,Remax Hex Bolt M10x50 Stainless 316,"Hex Bolt M10x50, finish: Stainless 316. Brand Remax. Sold per Pcs.",Remax,All Items > Hardware > Hex Bolt,Pcs,"[{""uom"":""Pcs"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":24.0}]",,REM154350,0,900,7.76
ACM-SELF0922,"Hitex Self Drilling Screw #10 x 1"" Stainless 410","Self Drilling Screw #10 x 1"", finish: Stainless 410. Brand Hitex. Sold per Packet.",Hitex,All Items > Hardware > Self Drilling Screw,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":12.0}]",,,0,900,253.7
ACM-HEXB0387,Remax Hex Bolt M8x30 Zinc Plated,"Hex Bolt M8x30, finish: Zinc Plated. Brand Remax. Sold per Pcs.",Remax,All Items > Hardware > Hex Bolt,Pcs,"[{""uom"":""Pcs"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":50.0}]",990103190619,REM780776,0,12,105.55
ACM-PVCP0363,Vermont PVC Pipe 40mm Class E,"PVC Pipe 40mm, grade: Class E. Brand Vermont. Sold per Length.",Vermont,All Items > Hardware > PVC Pipe,Length,"[{""uom"":""Length"",""conversion_factor"":1.0}]",948921480584,,0,0,358.59
ACM-CABL0607,Vermont Cable Tie 150mm Natural,"Cable Tie 150mm, colour: Natural. Brand Vermont. Sold per Packet.",Vermont,All Items > Hardware > Cable Tie,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":24.0}]",960358880143,,0,40,91.35
ACM-ANGL0765,"Stallion Angle Grinder Disc 5"" Flap","Angle Grinder Disc 5"", grade: Flap. Brand Stallion. Sold per Packet.",Stallion,All Items > Hardware > Angle Grinder Disc,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":100.0}]",,,0,0,332.13
ACM-CABL0990,Kanto Cable Tie 370mm Natural,"Cable Tie 370mm, colour: Natural. Brand Kanto. Sold per Packet.",Kanto,All Items > Hardware > Cable Tie,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":10.0}]",982006130407,KAN896412,0,40,79.29
ACM-HEXB0246,Kanto Hex Bolt M6x30 Zinc Plated,"Hex Bolt M6x30, finish: Zinc Plated. Brand Kanto. Sold per Pcs.",Kanto,All Items > Hardware > Hex Bolt,Pcs,"[{""uom"":""Pcs"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":12.0}]",,,0,12,244.05
ACM-NITR0925,Kanto Nitrile Glove M Blue,"Nitrile Glove M, colour: Blue. Brand Kanto. Sold per Box.",Kanto,All Items > Hardware > Nitrile Glove,Box,"[{""uom"":""Box"",""conversion_factor"":1.0}]",900373391031,,0,900,99.48
ACM-CABL0958,Stallion Cable Tie 200mm Natural,"Cable Tie 200mm, colour: Natural. Brand Stallion. Sold per Packet.",Stallion,All Items > Hardware > Cable Tie,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":10.0}]",950218319786,STA660614,0,12,193.45
ACM-HEXB0639,Hitex Hex Bolt M10x50 HDG,"Hex Bolt M10x50, finish: HDG. Brand Hitex. Sold per Pcs.",Hitex,All Items > Hardware > Hex Bolt,Pcs,"[{""uom"":""Pcs"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":12.0}]",,,0,900,189.09
ACM-CABL0035,Bosco Cable Tie 300mm Black,"Cable Tie 300mm, colour: Black. Brand Bosco. Sold per Packet.",Bosco,All Items > Hardware > Cable Tie,Packet,"[{""uom"":""Packet"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":6.0}]",,,0,0,360.23
ACM-BALL0952,"Kanto Ball Valve 1-1/4"" SS304","Ball Valve 1-1/4"", material: SS304. Brand Kanto. Sold per Nos.",Kanto,All Items > Hardware > Ball Valve,Nos,"[{""uom"":""Nos"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":50.0}]",,KAN210051,0,3,148.69
ACM-MASK0527,Stallion Masking Tape 48mm High Temp,"Masking Tape 48mm, grade: High Temp. Brand Stallion. Sold per Roll.",Stallion,All Items > Hardware > Masking Tape,Roll,"[{""uom"":""Roll"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":12.0}]",,,0,150,138.27
ACM-PVCP0392,Vermont PVC Pipe 50mm Class E,"PVC Pipe 50mm, grade: Class E. Brand Vermont. Sold per Length.",Vermont,All Items > Hardware > PVC Pipe,Length,"[{""uom"":""Length"",""conversion_factor"":1.0}]",949399960970,VER369320,0,0,129.47
ACM-BALL1017,"Kanto Ball Valve 1/2"" Brass","Ball Valve 1/2"", material: Brass. Brand Kanto. Sold per Nos.",Kanto,All Items > Hardware > Ball Valve,Nos,"[{""uom"":""Nos"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":100.0}]",,KAN598332,0,12,21.93
ACM-HEXB0653,Tolsen Hex Bolt M12x60 HDG,"Hex Bolt M12x60, finish: HDG. Brand Tolsen. Sold per Pcs.",Tolsen,All Items > Hardware > Hex Bolt,Pcs,"[{""uom"":""Pcs"",""conversion_factor"":1.0},{""uom"":""Carton"",""conversion_factor"":24.0}]",,TOL887363,0,150,392.06
